RuleID,Title,Severity,Category,SourceFile,Line
R-c51c41fde8dc,- Maintainability: 80 — Type-check clean on app; ruff enforced; modular memory r,High,Quality,/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,9
R-faea8c0a6e0c,- Improve coverage and mutation testing; add perf budgets on hot paths; expand s,High,CI/CD,/Users/frisowempe/ISA_D/QUALITY_SCORECARD.md,15
R-62b5674f465d,"1.  **Adhere to General Policies**: You must follow all principles, roles (Plann",High,CI/CD,/Users/frisowempe/ISA_D/gemini.md,10
R-6460d79d09cb,"6.  **The Verifier Mandate**: After making changes (e.g., `write_file`, `replace",High,Docs,/Users/frisowempe/ISA_D/gemini.md,24
R-bb2e59f85d58,"21. CI gating: Advisory→enforced cadence, time budgets, flaky quarantine; pytest",High,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,41
R-1a9613b3df22,- Determinism likely needs orjson + explicit newline/encoding policies; cross‑OS,Low,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,237
R-b195ab9d09e6,- Polars/DuckDB promising for heavy joins; integration cost must be balanced wit,High,Process,/Users/frisowempe/ISA_D/docs/RESEARCH_KNOWLEDGE_GAPS.md,239
R-d25ece872f47,- Changing the embedding model invalidates existing vectors; migrations must be ,High,Docs,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,10
R-18792834f632,Each vector entry MUST include the following metadata fields (example JSON schem,High,Data,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,21
R-40eea275e63b,- Every ingestion run must produce a manifest (JSON) linking `document_id` → sou,High,Docs,/Users/frisowempe/ISA_D/docs/VECTOR_STORE_SCHEMA.md,37
R-fad2263d458a,10) Promotion & Retirement: Promote to PR‑CI only if passing thresholds for 7 co,Low,CI/CD,/Users/frisowempe/ISA_D/docs/RESEARCH_OPERATIONS.md,16
R-4c4306378c14,All AI agents *must* internalize and strictly adhere to the core principles and ,High,CI/CD,/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,7
R-496097b5f803,*   The project maintains a comprehensive index of its codebase. Before undertak,High,Agentic,/Users/frisowempe/ISA_D/docs/AI_AGENT_ONBOARDING.md,33
R-fbc69238d586,- Ephemeral branches; auto-merge only if CI fully green.,Low,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,17
R-aaa35a89051b,"- Append-only JSONL for events (plan, action, result, reward, memory store/retri",Low,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,22
R-f632eea427dd,- T0: Read-only advice (default).,Low,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,43
R-03df19646c9a,"- When blocked by missing context, the agent researches (search index, docs, cod",Low,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,50
R-ae7d57080c6e,- Coverage ≥90% core; type errors 0 on target modules; determinism enforced.,High,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,59
R-d94261f042ae,- Autonomy: all edits land on branches; T2 auto-merge only with fully green CI a,Low,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,66
R-549e10fa406b,"- Stability counters: each gate (tests, coverage, mypy, semgrep, determinism) in",High,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,69
R-cec3f22c4a90,Kill-Switch & Rollback Triggers,High,Agentic,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,80
R-f735c039e15e,- docs/QUALITY_METHODS.md — quality and gate policies (incl. orchestrator-only g,Medium,CI/CD,/Users/frisowempe/ISA_D/docs/AGENTIC_ARCHITECTURE.md,88
R-7b914e9aa844,"- [x] Define toolchain and policies (uv, ruff, mypy, pytest, semgrep, bandit, pi",Low,CI/CD,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,11
R-53af647a56a4,- [x] Create ADR stubs for tooling and safety,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,12
R-5b46b44db252,- [ ] Document reward model and autonomy tiers,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,13
R-7f4c1771020f,Acceptance:,Medium,Process,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,14
R-21dd01899166,- Clear ADRs exist for tooling and safety with owners and rationale.,Low,Docs,/Users/frisowempe/ISA_D/docs/ULTIMATE_PLAN.md,15
